ssn,name,address,birthdate,physician_id
478-34-0781,Florance Saiz,7 Fair Oaks Place,1988-11-03T23:25:38Z,614-57-6885
885-94-4721,Merry Di Pietro,1 Old Shore Court,1991-02-07T22:00:41Z,702-16-8749
777-39-3296,Myron Cottem,75875 Fulton Crossing,1986-02-20T04:43:29Z,718-27-0905
227-08-7452,Bearnard Remer,18669 Heffernan Point,2008-01-09T05:34:30Z,230-12-3219
805-15-2755,Roxana Worster,54 Hudson Junction,1982-11-12T18:11:55Z,163-50-5535
758-08-7274,Susanetta Petruska,16276 Sutteridge Avenue,1922-08-05T18:36:12Z,118-66-5958
501-47-2038,Elvyn Rudinger,48 Bowman Parkway,2006-02-28T16:26:43Z,156-28-1945
360-47-2098,Peter Lukasen,552 Ryan Court,1969-01-10T19:33:03Z,522-86-5827
631-75-6048,Avrom Messer,5030 Garrison Center,1929-02-04T06:34:10Z,510-55-9776
192-33-2887,Jacinda Stowe,8 Colorado Alley,1970-04-15T00:24:26Z,357-93-5814
691-21-7304,Myrlene Yegoshin,2 Sunnyside Court,2001-06-03T23:02:52Z,460-35-6754
303-13-5928,Krystyna Luckie,54106 Barnett Plaza,1950-02-11T12:20:13Z,571-13-9020
